initial_timeout, tendermint, algorand, mir, pbft
0.01, 0.9216512220018408, , 1.361878886756137,
0.02, 0.939675510355705, , 0.9226155845762903,
0.03, 0.809669790497094, , 0.7556171166666373,
0.04, 0.8555502017083734, , 0.478430864813601,
0.05, 0.9857201884144078, , 0.48355072917689623,
0.06, 0.6783809713543595, , 0.38327199411231094,
0.07, 0.7045336499821128, , 0.3899965920019876,
0.08, 0.8091851142681024, , 0.40005229867886544,
0.09, 0.7616046499881668, , 0.4147327405558175,
0.10, 0.815715200992215, 2.0805600219656086, 0.41410240328937414,
0.11, 0.8605454181343001, 0.9179891218352495, 0.4197358763197576, 0.6970370065816717
0.12, 0.44517733432690765, 0.37718154531099124, 0.3640919437857289, 0.5219986552602142
0.13, 0.4010900339127239, 0.3286667853834512, 0.34618028762058406, 0.47217287317623496
0.14, 0.47362424263921327, 0.3428207233052564, 0.33467778049975494, 0.4980699266783384
0.15, 0.500556265549403, 0.33094649214049987, 0.2981535921473936, 0.535570711439095
0.16, 0.5835548133798281, 0.3549439951184051, 0.28538835098888493, 0.5655776977717876
0.17, 0.5630019532197714, 0.36889924011870423, 0.28573286382290647, 0.5771354902549836
0.18, 0.5546029439999016, 0.3837494520441151, 0.2986460552260457, 0.6206956943069023
0.19, 0.5992256275673543, 0.412109903682207, 0.28310341517632115, 0.6403562173815228
0.20, 0.5655622748692851, 0.42408012695859304, 0.30191254648683225, 0.6854901342236706
0.21, 0.6121504833834496, 0.4174690756292247, 0.29889735511222604, 0.7041399895572209
0.22, 0.7116939501145431, 0.39953276840672536, 0.27134627330934846, 0.751171628464956
0.23, 0.6132051043461074, 0.4244766958666017, 0.29327898379074563, 0.7629856335999705
0.24, 0.6491514041173485, 0.4923821492955347, 0.2805899730527674, 0.8248426032659523
0.25, 0.7346361479647021, 0.4564164120158484, 0.2964714490717865, 0.8419231868512052
0.26, 0.6545513005645444, 0.4618204466271982, 0.2985429222697226, 0.8441063511877337
0.27, 0.7172821461483546, 0.46143088691334977, 0.30403568779805257, 0.866097158497566
0.28, 0.7271075697160401, 0.5252792836532689, 0.29926959347905674, 0.9026578572650765
0.29, 0.8367263130587629, 0.4942316605398415, 0.3250586200564484, 1.0099394039963998
0.30, 0.8472511005583666, 0.5052389458721839, 0.2919537696975242, 0.9770583142428242
0.31, 0.8738831700515144, 0.5097885501145148, 0.28571933503459385, 1.0570065071028174
0.32, 0.8163528251525797, 0.5469304574105459, 0.2905949187213621, 1.0364260151724416
0.33, 0.8556661332605374, 0.5238358912180705, 0.30910365605142176, 1.0929127412540787
0.34, 0.9796933725768946, 0.5485577483607242, 0.30092670791116605, 1.1233593800490687
0.35, 0.9369258749921687, 0.5233601756534328, 0.32675136957923046, 1.1350156306451744
0.36, 0.941601335334481, 0.5847661786091658, 0.35386078521342634, 1.1453457536578886
0.37, 1.0223659978381512, 0.641190805494482, 0.29974330758675277, 1.2048173598401777
0.38, 1.0667699462068831, 0.5994111030857964, 0.3227367362851474, 1.2659831361155323
0.39, 1.114323643357493, 0.6024157196858673, 0.29519980724224554, 1.223379037596009
