initial_timeout,tendermint,pbft
0.01, 1.0351944464176077,0.9928486273212641,
0.02, 0.9235541294461651,0.9658658166592257,
0.03, 0.7620131042686116,0.907817272117874,
0.04, 0.8796583992640636,0.894954037614953,
0.05, 0.9655891565357679,1.0634252953301304,
0.06, 0.6615496635056506,0.8513488670801477,
0.07, 0.6625576533449865,0.7141157958953641,
0.08, 0.7835614632066885,0.7868499268998284,
0.09, 0.7794306703189201,0.8646458974383385,
0.10, 0.8358898521260434,0.9287223800166678,
0.11, 0.8657107927634037,0.9831267986840548,
0.12, 0.5270510446561214,0.6195468263937871,
0.13, 0.4078901613040563,0.514228452308563,
0.14, 0.5295529108204883,0.5499119447995231,
0.15, 0.44805402204315636,0.6044618931497083,
0.16, 0.4556978690890346,0.6237043204276687,
0.17, 0.5801138218773957,0.6106741168266009,
0.18, 0.5815670448668774,0.6789976583626959,
0.19, 0.522977889725044,0.6922820794918365,
0.20, 0.5466821860875624,0.7556567090906767,
0.21, 0.6003837480286852,0.7551574203385384,
0.22, 0.6142380566090707,0.8344674149670711,
0.23, 0.6705513941675261,0.845049864723572,
0.24, 0.6845789184203412,0.8248779799598749,
0.25, 0.645655780942454,0.8298651709250149,
0.26, 0.7074887428055303,0.9424777850137167,
0.27, 0.8401909967805226,0.8739823549019468,
0.28, 0.781552535765662,1.0273025194293994,
0.29, 0.8385060906874332,1.011382726847688,
0.30, 0.8320534146315112,1.0119149739707227,
0.31, 0.8720632122016212,0.9229628178251632,
0.32, 0.8956362600850691,0.9499592078058793,
0.33, 0.8876638982918694,0.976860759467369,
0.34, 0.8945714759793256,1.0041789986311045,
0.35, 0.920665825825132,1.030918801898493,
0.36, 0.9414808622760704,1.0580075333874326,
0.37, 1.003940199487098,1.0851168243049576,
0.38, 1.007618046937494,1.1120906155526349,
0.39, 0.9926041516137797,1.138994648106373,
