initial_timeout, tendermint, algorand, pbft
0.01, 1.057562128068452, , 0.986032644289351
0.02, 0.8996217057851886, , 0.9920245114375215
0.03, 0.7485036044930587, , 0.9262365509954483
0.04, 0.855647657698984, , 0.9467488401072831
0.05, 0.9755237697165171, , 1.0418411299434562
0.06, 0.7202679324771264, , 0.8131309879054096
0.07, 0.6624636650468233, , 0.7553994347602224
0.08, 0.7436423537906452, , 0.7944738958280898
0.09, 0.8065775072145962, , 0.8831163202147196
0.10, 0.835536905507051, 1.6386043263765762, 0.9070864552775604
0.11, 0.8770868039798796, 0.9055587953657359, 1.0008151130808456
0.12, 0.48081164265265985, 0.3938576117351601, 0.7158264261921393
0.13, 0.42060477944597013, 0.33007231952573357, 0.5845273334640084
0.14, 0.48059321342538935, 0.3265451556780838, 0.5245274035989268
0.15, 0.5006021119558804, 0.3525577905033473, 0.5489192069959079
0.16, 0.44749483260091566, 0.34382276738245077, 0.6327557744332837
0.17, 0.6141425426585182, 0.34161702697759266, 0.6284006218918553
0.18, 0.5456154609482626, 0.38822336908500954, 0.6414818662887146
0.19, 0.5800407606991552, 0.40338575146815336, 0.6819241766724058
0.20, 0.5755853411009628, 0.4283595057228432, 0.7340483085611651
0.21, 0.5996349601755698, 0.4033258258135103, 0.7905019884415921
0.22, 0.5693366384097149, 0.4429264253123062, 0.7880537427716134
0.23, 0.6949342721408003, 0.44436428861762506, 0.9201101004960467
0.24, 0.7225321359018394, 0.4560683044779411, 0.8663209992042266
0.25, 0.7471553624276812, 0.4514054462771176, 0.9109859811425559
0.26, 0.6812431023987191, 0.43959097033334, 0.8863471790523526
0.27, 0.7976098624227265, 0.5013858361589022, 0.9316551833998996
0.28, 0.7685272940626351, 0.45423918426253085, 0.9345613024427695
0.29, 0.7634105927244108, 0.5004356064928505, 1.0588217099605746
0.30, 0.8332570220672861, 0.49921599125137617, 1.0448709538097982
0.31, 0.8240131458088525, 0.5093280624274187, 0.9230533815921078
0.32, 0.9294932836144998, 0.5134709785021151, 0.9499975289921669
0.33, 0.873528972597459, 0.5851388132995357, 0.9770230893481269
0.34, 1.0307176071407473, 0.5551979152590536, 1.0040483328508902
0.35, 0.9530179858971448, 0.5878126516189511, 1.0310315940946821
0.36, 0.9826082133187725, 0.5331130145860697, 1.0581966877078806
0.37, 0.9677648866947625, 0.588345424326703, 1.085114024674434
0.38, 1.0265583472657782, 0.5378096457978023, 1.1120382684695032
0.39, 1.1096180734148433, 0.6102536228425481, 1.1390644151104377
