initial_timeout, tendermint, algorand, this_work
0.01, 0.94815039705111, , 1.3603126143471806
0.02, 0.9284903170742013, , 0.9134971830851506
0.03, 0.7632505430771749, , 0.7478466223686555
0.04, 0.873303832156102, , 0.462806563235705
0.05, 0.9656213417113417, , 0.4836151284741626
0.06, 0.6687779903401455, , 0.3815497601647374
0.07, 0.6592447049219925, , 0.3888778962455733
0.08, 0.7476312027129391, , 0.4098585921168484
0.09, 0.8018126726876281, , 0.41673613346834565
0.10, 0.8136657985116647, 1.7775765642327277, 0.42245893472569357
0.11, 0.8670608753215614, 0.9728172317028935, 0.41797496977936416
0.12, 0.5112395959865078, 0.3804382620110099, 0.36382775061621336
0.13, 0.4344043499155059, 0.33335134647901693, 0.35823396335421365
0.14, 0.45966907045408045, 0.3388916840826752, 0.33436059305421967
0.15, 0.47362020298886764, 0.3488773561484389, 0.3091158984462116
0.16, 0.5012508328481693, 0.355383369165853, 0.2979964794826819
0.17, 0.5402533692918047, 0.3636174484060323, 0.29229268736052405
0.18, 0.5600674860122431, 0.3864265534546493, 0.2917839201877666
0.19, 0.5669062708662161, 0.39843947440914235, 0.28677609144500604
0.20, 0.5858564010344477, 0.4047129302589188, 0.29605102621004303
0.21, 0.6109395345364591, 0.4038680153628727, 0.2982954439962142
0.22, 0.6319540816651124, 0.4241358875221672, 0.2936460023485939
0.23, 0.6574138943668382, 0.44061308042833386, 0.2914803969774209
0.24, 0.68436210855494, 0.4445993897895309, 0.29319651495832816
0.25, 0.7008277926977896, 0.45657227196389266, 0.2871132297116196
0.26, 0.7175983163670991, 0.4747829851390151, 0.28732460788605363
0.27, 0.7662296391429978, 0.47682336521495017, 0.29415658664570604
0.28, 0.7874051215846143, 0.49237805096342235, 0.2964060477841653
0.29, 0.800374279015008, 0.5072662902036298, 0.29589427142211405
0.30, 0.8322259046853835, 0.5064925844147542, 0.2963050376374373
0.31, 0.8607313903618014, 0.5237782295411743, 0.2977991524493164
0.32, 0.8779293482287558, 0.5328170718216703, 0.30640321792184855
0.33, 0.8883616675015854, 0.5457433136844435, 0.2946939324886243
0.34, 0.9471201074928287, 0.5554321681415538, 0.31236621124439656
0.35, 0.9716583000812976, 0.5727855782096789, 0.30220113778285534
0.36, 1.0041086729669166, 0.5795688953301191, 0.30180281018561317
0.37, 0.9982808631578223, 0.5770938162054712, 0.3093211156810027
0.38, 0.98764600726341, 0.5962341131290578, 0.3045763095885665
0.39, 1.0383032735776863, 0.6102950899383863, 0.3134848435590848
