initial_timeout,pbft
0.01, ,
0.02, ,
0.03, ,
0.04, ,
0.05, ,
0.06, ,
0.07, 0.2597239026379324,
0.08, 0.42852068354530937,
0.09, 0.6996346830075669,
0.10, 0.9781211946772889,
0.11, 1.011154408663495,
0.12, 1.1967315366550202,
0.13, 1.0141695318885744,
0.14, 0.7945582760284063,
0.15, 0.8608829326075095,
0.16, 0.6834469229027362,
0.17, 0.5941664150770266,
0.18, 0.61924090244999,
0.19, 0.6117077389079911,
0.20, 0.6968270753765686,
0.21, 0.6960913702447784,
0.22, 0.6994985898119221,
0.23, 0.7610108601729275,
0.24, 0.7814193175600591,
0.25, 0.8157676681678848,
0.26, 0.833635615787533,
0.27, 0.8429100419106096,
0.28, 0.8710994919118051,
0.29, 0.9264436873607732,
0.30, 0.962336579875955,
0.31, 0.967302558891964,
0.32, 1.010458101355284,
0.33, 1.0408925421013409,
0.34, 1.1038920611355305,
0.35, 1.084008037583698,
0.36, 1.0945699500488126,
0.37, 1.1783519928762924,
0.38, 1.195974885483873,
0.39, 1.1492175098496968,
